-50.00 914.89 261.15 0.00463 0.00 30214099834
-49.90 914.86 261.15 0.00462 0.00 30141826367
-49.80 914.83 261.15 0.00461 0.00 30069555232
-49.70 914.80 261.15 0.00460 0.00 29997286463
-49.60 914.77 261.15 0.00459 0.00 29925020091
-49.50 914.74 261.15 0.00458 0.00 29852756151
-49.40 914.71 261.15 0.00457 0.00 29780494675
-49.30 914.68 261.15 0.00456 0.00 29708235698
-49.20 914.65 261.15 0.00455 0.00 29635979256
-49.10 914.61 261.15 0.00454 0.00 29563725382
-49.00 914.58 261.15 0.00453 0.00 29491474112
-48.90 914.55 261.15 0.00452 0.00 29419225483
-48.80 914.51 261.15 0.00451 0.00 29346979532
-48.70 914.48 261.15 0.00450 0.00 29274736294
-48.60 914.44 261.15 0.00449 0.00 29202495809
-48.50 914.41 261.15 0.00448 0.00 29130258114
-48.40 914.37 261.15 0.00447 0.00 29058023247
-48.30 914.33 261.15 0.00446 0.00 28985791249
-48.20 914.30 261.15 0.00445 0.00 28913562159
-48.10 914.26 261.15 0.00444 0.00 28841336016
-48.00 914.22 261.15 0.00443 0.00 28769112863
-47.90 914.18 261.15 0.00442 0.00 28696892740
-47.80 914.14 261.15 0.00441 0.00 28624675689
-47.70 914.10 261.15 0.00440 0.00 28552461754
-47.60 914.06 261.15 0.00439 0.00 28480250976
-47.49 914.02 261.15 0.00438 0.00 28408043401
-47.39 913.98 261.15 0.00437 0.00 28335839071
-47.29 913.94 261.15 0.00436 0.00 28263638033
-47.19 913.90 261.15 0.00435 0.00 28191440331
-47.09 913.85 261.15 0.00434 0.00 28119246013
-46.99 913.81 261.15 0.00433 0.00 28047055124
-46.89 913.77 261.15 0.00432 0.00 27974867713
-46.79 913.72 261.15 0.00431 0.00 27902683827
-46.69 913.68 261.15 0.00430 0.00 27830503515
-46.59 913.63 261.15 0.00429 0.00 27758326827
-46.49 913.58 261.15 0.00428 0.00 27686153813
-46.39 913.53 261.15 0.00427 0.00 27613984524
-46.29 913.49 261.15 0.00426 0.00 27541819011
-46.19 913.44 261.15 0.00425 0.00 27469657326
-46.09 913.39 261.15 0.00424 0.00 27397499523
-45.99 913.34 261.15 0.00424 0.00 27325345655
-45.89 913.29 261.15 0.00423 0.00 27253195777
-45.79 913.24 261.15 0.00422 0.00 27181049943
-45.69 913.18 261.15 0.00421 0.00 27108908210
