0 0 261.15 360.00 2.853881e-09 0.000000e+00 0.00050
86400 86400 261.41 360.00 2.853646e-09 0.000000e+00 0.00050
172800 172800 261.67 360.00 2.852942e-09 0.000000e+00 0.00050
259200 259200 261.92 360.00 2.851768e-09 0.000000e+00 0.00050
345600 345600 262.18 360.00 2.850124e-09 0.000000e+00 0.00050
432000 432000 262.44 360.00 2.848012e-09 0.000000e+00 0.00050
518400 518400 262.70 360.00 2.845432e-09 0.000000e+00 0.00050
604800 604800 262.95 360.00 2.842384e-09 0.000000e+00 0.00050
691200 691200 263.21 360.00 2.838871e-09 0.000000e+00 0.00050
777600 777600 263.46 360.00 2.834891e-09 0.000000e+00 0.00050
864000 864000 263.72 360.00 2.830448e-09 0.000000e+00 0.00050
950400 950400 263.97 360.00 2.825542e-09 0.000000e+00 0.00050
1036800 1036800 264.23 360.00 2.820174e-09 0.000000e+00 0.00050
1123200 1123200 264.48 360.00 2.814346e-09 0.000000e+00 0.00050
1209600 1209600 264.73 360.00 2.808061e-09 0.000000e+00 0.00050
1296000 1296000 264.98 360.00 2.801319e-09 0.000000e+00 0.00050
1382400 1382400 265.23 360.00 2.794123e-09 0.000000e+00 0.00050
1468800 1468800 265.48 360.00 2.786474e-09 0.000000e+00 0.00050
1555200 1555200 265.72 360.00 2.778376e-09 0.000000e+00 0.00050
1641600 1641600 265.97 360.00 2.769831e-09 0.000000e+00 0.00050
1728000 1728000 266.21 360.00 2.760840e-09 0.000000e+00 0.00050
1814400 1814400 266.46 360.00 2.751408e-09 0.000000e+00 0.00050
1900800 1900800 266.70 360.00 2.741536e-09 0.000000e+00 0.00050
1987200 1987200 266.93 360.00 2.731227e-09 0.000000e+00 0.00050
2073600 2073600 267.17 360.00 2.720485e-09 0.000000e+00 0.00050
2160000 2160000 267.41 360.00 2.709313e-09 0.000000e+00 0.00050
2246400 2246400 267.64 360.00 2.697713e-09 0.000000e+00 0.00050
2332800 2332800 267.87 360.00 2.685690e-09 0.000000e+00 0.00050
2419200 2419200 268.10 360.00 2.673247e-09 0.000000e+00 0.00050
2505600 2505600 268.33 360.00 2.660388e-09 0.000000e+00 0.00050
2592000 2592000 268.56 360.00 2.647117e-09 0.000000e+00 0.00050
2678400 2678400 268.78 360.00 2.633436e-09 0.000000e+00 0.00050
2764800 2764800 269.00 360.00 2.619352e-09 0.000000e+00 0.00050
